/scratch/sdlab/john/nucmer_regen/assembly.fasta	/scratch/sdlab/john/nucmer_regen/reference.fasta
NUCMER
IDY]	[S1]	[E1]	[COV	[S2]	[E2]	[LEN	1]
scaffold9_size10157462_pilon	2985249	3079979	chromosome_14	2983514	3078242	94731	94729
scaffold9_size10157462_pilon	3082703	3119071	chromosome_14	3081942	3118328	36369	36387
scaffold9_size10157462_pilon	3118932	3239861	chromosome_14	3118739	3239688	120930	120950
scaffold9_size10157462_pilon	3239829	3259729	chromosome_14	3239789	3259696	19901	19908
scaffold9_size10157462_pilon	3259714	3320080	chromosome_14	3259543	3319929	60367	60387
scaffold9_size10157462_pilon	3321165	3336627	chromosome_14	3319879	3335351	15463	15473
scaffold9_size10157462_pilon	3336820	3337428	chromosome_14	3335454	3336064	609	611
scaffold9_size10157462_pilon	3337488	3390294	chromosome_14	3336173	3388987	52807	52815
scaffold9_size10157462_pilon	3390647	3452401	chromosome_14	3388967	3450767	61755	61801
scaffold9_size10157462_pilon	3452727	3455193	chromosome_14	3450870	3453340	2467	2471
scaffold9_size10157462_pilon	3455250	3470303	chromosome_14	3453916	3468976	15054	15061
scaffold9_size10157462_pilon	3470709	3498594	chromosome_14	3469559	3497445	27886	27887
scaffold9_size10157462_pilon	3507225	3520080	chromosome_14	3508194	3521055	12856	12862
scaffold9_size10157462_pilon	3520667	3522477	chromosome_14	3521156	3522967	1811	1812
scaffold9_size10157462_pilon	3522828	3527024	chromosome_14	3523507	3527710	4197	4204
scaffold9_size10157462_pilon	3528134	3528849	chromosome_14	3528127	3528843	716	717
scaffold9_size10157462_pilon	3528862	3529785	chromosome_14	3529419	3530346	924	928
scaffold9_size10157462_pilon	3529866	3540549	chromosome_14	3530975	3541661	10684	10687
scaffold9_size10157462_pilon	3540533	3542948	chromosome_14	3541762	3544197	2416	2436
scaffold9_size10157462_pilon	3590597	3778931	chromosome_14	3596557	3784905	188335	188349
scaffold9_size10157462_pilon	3779244	3876810	chromosome_14	3785006	3882572	97567	97567
scaffold9_size10157462_pilon	3879131	3880339	chromosome_14	3902562	3903775	1209	1214
scaffold9_size10157462_pilon	3884417	3891483	chromosome_14	3908058	3915134	7067	7077
scaffold9_size10157462_pilon	3891509	3944244	chromosome_14	3915117	3967864	52736	52748
scaffold9_size10157462_pilon	3944269	3944822	chromosome_14	3972285	3972838	554	554
scaffold9_size10157462_pilon	3945325	3946098	chromosome_14	3967990	3968771	774	782
scaffold9_size10157462_pilon	3946598	3947241	chromosome_14	3974681	3975325	644	645
scaffold9_size10157462_pilon	3947405	3948009	chromosome_14	3970422	3971027	605	606
scaffold9_size10157462_pilon	3948235	3968294	chromosome_14	3976306	3996380	20060	20075
scaffold9_size10157462_pilon	3968315	3976872	chromosome_14	3996481	4005037	8558	8557
scaffold9_size10157462_pilon	3977001	4035795	chromosome_14	4004969	4063709	58795	58741
scaffold9_size10157462_pilon	4049268	4119028	chromosome_14	4071378	4141156	69761	69779
scaffold9_size10157462_pilon	4183316	4185975	chromosome_14	4155667	4153003	2660	2665
scaffold1_size20154211_pilon	397687	397813	chromosome_14	2590214	2590340	127	127
scaffold1_size20154211_pilon	1597708	1600420	chromosome_14	3596559	3593847	2713	2713
scaffold10_size3638799_pilon	1332922	1333385	chromosome_14	674146	673674	464	473
scaffold28_size567115_pilon	198319	218909	chromosome_14	2844458	2865048	20591	20591
scaffold47_size61635_pilon	42755	45615	chromosome_14	950765	947905	2861	2861
scaffold44_size56643_pilon	25951	26055	chromosome_14	383710	383606	105	105
scaffold8_size5106655_pilon	2397311	2397633	chromosome_14	2692247	2691921	323	327
scaffold8_size5106655_pilon	2397905	2398011	chromosome_14	2692355	2692249	107	107
scaffold20_size1052405_pilon	102867	102944	chromosome_14	2602801	2602877	78	77
scaffold43_size25761_pilon	12656	22576	chromosome_14	4142921	4152859	9921	9939
scaffold9_size10157462_pilon	442	506	chromosome_15	1	65	65	65
scaffold9_size10157462_pilon	941819	944630	chromosome_15	1753929	1751060	2812	2870
scaffold42_size29546_pilon	22613	23559	chromosome_15	720	1663	947	944
scaffold24_size867617_pilon	797410	797478	chromosome_15	106155	106223	69	69
scaffold40_size81740_pilon	17873	21731	chromosome_15	1635340	1631482	3859	3859
scaffold40_size81740_pilon	31886	39485	chromosome_15	3044	10636	7600	7593
scaffold28_size567115_pilon	164761	165332	chromosome_15	1862362	1862933	572	572
scaffold28_size567115_pilon	167446	183808	chromosome_15	1862933	1879262	16363	16330
scaffold16_size2319712_pilon	868933	938410	chromosome_15	1362467	1292966	69478	69502
scaffold16_size2319712_pilon	943055	1001970	chromosome_15	1292982	1234054	58916	58929
scaffold16_size2319712_pilon	1005693	1012196	chromosome_15	1231673	1225174	6504	6500
scaffold16_size2319712_pilon	1012870	1038166	chromosome_15	1224830	1199535	25297	25296
scaffold16_size2319712_pilon	1039554	1062432	chromosome_15	1199088	1176197	22879	22892
scaffold16_size2319712_pilon	1063548	1119574	chromosome_15	1175334	1119276	56027	56059
scaffold16_size2319712_pilon	1122199	1122338	chromosome_15	1118684	1118545	140	140
scaffold16_size2319712_pilon	1124282	1212528	chromosome_15	1115369	1027115	88247	88255
scaffold16_size2319712_pilon	1214698	1218081	chromosome_15	1019139	1015765	3384	3375
scaffold16_size2319712_pilon	1222934	1230510	chromosome_15	1015663	1008086	7577	7578
scaffold16_size2319712_pilon	1231630	1234660	chromosome_15	1025956	1022906	3031	3051
scaffold16_size2319712_pilon	1234796	1263604	chromosome_15	1007984	979171	28809	28814
scaffold16_size2319712_pilon	1282890	1344611	chromosome_15	958736	897005	61722	61732
scaffold16_size2319712_pilon	1344604	1347653	chromosome_15	896072	893039	3050	3034
scaffold16_size2319712_pilon	1347875	1383141	chromosome_15	892377	857145	35267	35233
scaffold16_size2319712_pilon	1388799	1397800	chromosome_15	857149	848140	9002	9010
scaffold16_size2319712_pilon	1428127	1491655	chromosome_15	815802	752297	63529	63506
scaffold16_size2319712_pilon	1491472	1517553	chromosome_15	752426	726330	26082	26097
scaffold16_size2319712_pilon	1519702	1534393	chromosome_15	717911	703213	14692	14699
scaffold16_size2319712_pilon	1534562	1553495	chromosome_15	703216	684283	18934	18934
scaffold16_size2319712_pilon	1555052	1589631	chromosome_15	684375	649801	34580	34575
scaffold16_size2319712_pilon	1589631	1606888	chromosome_15	649462	632206	17258	17257
scaffold16_size2319712_pilon	1610407	1633805	chromosome_15	629107	605705	23399	23403
scaffold16_size2319712_pilon	1642106	1653322	chromosome_15	573128	561910	11217	11219
scaffold16_size2319712_pilon	1654075	1661444	chromosome_15	588848	581480	7370	7369
scaffold16_size2319712_pilon	1661591	1669446	chromosome_15	581486	573641	7856	7846
scaffold16_size2319712_pilon	1669491	1711843	chromosome_15	561914	519541	42353	42374
scaffold16_size2319712_pilon	1714763	1717411	chromosome_15	517153	514503	2649	2651
scaffold16_size2319712_pilon	1717395	1739666	chromosome_15	514402	492124	22272	22279
scaffold16_size2319712_pilon	1756608	1792590	chromosome_15	474745	438778	35983	35968
scaffold16_size2319712_pilon	1792893	1818816	chromosome_15	438677	412757	25924	25921
scaffold16_size2319712_pilon	1822831	1823172	chromosome_15	409693	409359	342	335
scaffold16_size2319712_pilon	1836816	1863925	chromosome_15	395213	368092	27110	27122
scaffold16_size2319712_pilon	1863889	1868363	chromosome_15	367991	363514	4475	4478
scaffold16_size2319712_pilon	1871688	1875028	chromosome_15	361035	357695	3341	3341
scaffold16_size2319712_pilon	1875796	1895171	chromosome_15	357594	338218	19376	19377
scaffold16_size2319712_pilon	1895141	1899254	chromosome_15	338117	334004	4114	4114
scaffold16_size2319712_pilon	1902210	1959293	chromosome_15	333163	276147	57084	57017
scaffold16_size2319712_pilon	1961633	1994524	chromosome_15	275261	242356	32892	32906
scaffold16_size2319712_pilon	1995176	2001546	chromosome_15	241332	234964	6371	6369
scaffold16_size2319712_pilon	2002225	2007726	chromosome_15	233775	228277	5502	5499
scaffold16_size2319712_pilon	2013377	2023426	chromosome_15	228175	218123	10050	10053
scaffold16_size2319712_pilon	2028640	2071128	chromosome_15	210409	167915	42489	42495
scaffold16_size2319712_pilon	2082357	2091104	chromosome_15	161616	152866	8748	8751
scaffold16_size2319712_pilon	2091717	2099824	chromosome_15	151563	143378	8108	8186
scaffold16_size2319712_pilon	2100088	2116970	chromosome_15	143154	126271	16883	16884
scaffold16_size2319712_pilon	2122253	2129968	chromosome_15	121610	113897	7716	7714
scaffold16_size2319712_pilon	2129951	2137404	chromosome_15	113716	106259	7454	7458
scaffold16_size2319712_pilon	2137448	2165292	chromosome_15	106072	78222	27845	27851
scaffold16_size2319712_pilon	2165357	2170381	chromosome_15	77002	71960	5025	5043
scaffold16_size2319712_pilon	2170457	2170938	chromosome_15	71859	71387	482	473
scaffold16_size2319712_pilon	2172911	2211800	chromosome_15	71387	32472	38890	38916
scaffold16_size2319712_pilon	2212052	2214629	chromosome_15	31260	28636	2578	2625
scaffold16_size2319712_pilon	2246804	2247708	chromosome_15	1858364	1859268	905	905
scaffold16_size2319712_pilon	2267230	2275274	chromosome_15	18775	10737	8045	8039
scaffold15_size3084122_pilon	1342280	1342809	chromosome_15	1231990	1232508	530	519
scaffold15_size3084122_pilon	1471075	1471426	chromosome_15	725536	725887	352	352
scaffold6_size7605625_pilon	5881421	5884427	chromosome_15	123264	126270	3007	3007
scaffold6_size7605625_pilon	6346102	6369401	chromosome_15	1382119	1405413	23300	23295
scaffold6_size7605625_pilon	6373577	6377839	chromosome_15	1408726	1412987	4263	4262
scaffold6_size7605625_pilon	6413504	6415621	chromosome_15	1414011	1416132	2118	2122
scaffold6_size7605625_pilon	6435961	6442220	chromosome_15	1421617	1427841	6260	6225
scaffold6_size7605625_pilon	6442272	6463583	chromosome_15	1466866	1488145	21312	21280
scaffold6_size7605625_pilon	6518811	6530699	chromosome_15	1450424	1462311	11889	11888
scaffold6_size7605625_pilon	6535395	6545072	chromosome_15	1428166	1437843	9678	9678
scaffold6_size7605625_pilon	6550737	6557052	chromosome_15	1437839	1444156	6316	6318
scaffold6_size7605625_pilon	6560358	6584837	chromosome_15	1581899	1606385	24480	24487
scaffold6_size7605625_pilon	6599718	6600136	chromosome_15	1635339	1635735	419	397
scaffold6_size7605625_pilon	6602553	6624654	chromosome_15	1636533	1658630	22102	22098
scaffold6_size7605625_pilon	6626326	6628945	chromosome_15	1659708	1662328	2620	2621
scaffold6_size7605625_pilon	6629029	6638058	chromosome_15	1662429	1671461	9030	9033
scaffold6_size7605625_pilon	6656935	6685442	chromosome_15	1691535	1720048	28508	28514
scaffold6_size7605625_pilon	6685508	6697475	chromosome_15	1720149	1732131	11968	11983
scaffold6_size7605625_pilon	6697633	6712749	chromosome_15	1734189	1749297	15117	15109
scaffold6_size7605625_pilon	6729714	6737804	chromosome_15	1764982	1773075	8091	8094
scaffold6_size7605625_pilon	6738931	6750748	chromosome_15	1773206	1785024	11818	11819
scaffold6_size7605625_pilon	6751075	6810415	chromosome_15	1785270	1844614	59341	59345
scaffold6_size7605625_pilon	6914029	6947901	chromosome_15	1888983	1922860	33873	33878
scaffold2_size9099104_pilon	9066394	9068375	chromosome_15	23595	21612	1982	1984
scaffold33_size214610_pilon	123338	124571	chromosome_15	151561	152794	1234	1234
scaffold9_size10157462_pilon	7947657	7947756	chromosome_16	4843248	4843149	100	100
scaffold1_size20154211_pilon	9066404	9073965	chromosome_16	6525422	6532944	7562	7523
scaffold1_size20154211_pilon	14988396	14988563	chromosome_16	6478184	6478017	168	168
scaffold1_size20154211_pilon	14988713	14989024	chromosome_16	6477914	6477600	312	315
scaffold1_size20154211_pilon	19568922	19569039	chromosome_16	7058442	7058325	118	118
scaffold7_size5221019_pilon	634019	636461	chromosome_16	833212	830762	2443	2451
scaffold10_size3638799_pilon	10124	28550	chromosome_16	7592929	7611355	18427	18427
scaffold10_size3638799_pilon	1121599	1121685	chromosome_16	1490456	1490370	87	87
scaffold10_size3638799_pilon	2487511	2487757	chromosome_16	5454386	5454633	247	248
scaffold13_size2841042_pilon	1	115362	chromosome_16	24317	139740	115362	115424
scaffold13_size2841042_pilon	122482	152067	chromosome_16	146637	176233	29586	29597
scaffold13_size2841042_pilon	152016	261680	chromosome_16	176337	286048	109665	109712
scaffold13_size2841042_pilon	264590	267597	chromosome_16	289260	292319	3008	3060
scaffold13_size2841042_pilon	267632	281989	chromosome_16	292420	306785	14358	14366
scaffold13_size2841042_pilon	282169	287381	chromosome_16	306886	312155	5213	5270
scaffold13_size2841042_pilon	287507	405071	chromosome_16	312155	429749	117565	117595
scaffold13_size2841042_pilon	405275	412558	chromosome_16	429850	437138	7284	7289
scaffold13_size2841042_pilon	412648	415496	chromosome_16	437263	440108	2849	2846
scaffold13_size2841042_pilon	416126	422709	chromosome_16	441384	447968	6584	6585
scaffold13_size2841042_pilon	430418	431533	chromosome_16	481997	483118	1116	1122
scaffold13_size2841042_pilon	431827	435579	chromosome_16	483555	487307	3753	3753
scaffold13_size2841042_pilon	436065	439732	chromosome_16	487783	491451	3668	3669
scaffold13_size2841042_pilon	486323	486429	chromosome_16	16563	16457	107	107
scaffold13_size2841042_pilon	545346	718537	chromosome_16	597068	770307	173192	173240
scaffold13_size2841042_pilon	723105	738120	chromosome_16	770432	785449	15016	15018
scaffold13_size2841042_pilon	751188	753359	chromosome_16	795454	797628	2172	2175
scaffold13_size2841042_pilon	753703	767115	chromosome_16	798875	812299	13413	13425
scaffold13_size2841042_pilon	772764	791123	chromosome_16	812294	830659	18360	18366
scaffold13_size2841042_pilon	793795	836550	chromosome_16	833745	876500	42756	42756
scaffold13_size2841042_pilon	837075	838704	chromosome_16	876490	878075	1630	1586
scaffold13_size2841042_pilon	843184	844684	chromosome_16	878076	879581	1501	1506
scaffold13_size2841042_pilon	845795	846751	chromosome_16	879742	880702	957	961
scaffold13_size2841042_pilon	846787	851335	chromosome_16	880942	885483	4549	4542
scaffold13_size2841042_pilon	851576	852779	chromosome_16	886192	887448	1204	1257
scaffold13_size2841042_pilon	853015	853623	chromosome_16	887910	888514	609	605
scaffold13_size2841042_pilon	853750	854045	chromosome_16	888525	888822	296	298
scaffold13_size2841042_pilon	854359	864917	chromosome_16	889162	899794	10559	10633
scaffold13_size2841042_pilon	874565	885394	chromosome_16	911678	922512	10830	10835
scaffold13_size2841042_pilon	885339	895377	chromosome_16	922792	932844	10039	10053
scaffold13_size2841042_pilon	895399	897838	chromosome_16	933460	935872	2440	2413
scaffold13_size2841042_pilon	897826	902997	chromosome_16	936579	941752	5172	5174
scaffold13_size2841042_pilon	902996	910789	chromosome_16	942778	950593	7794	7816
scaffold13_size2841042_pilon	916163	940180	chromosome_16	955497	979575	24018	24079
scaffold13_size2841042_pilon	965610	1024530	chromosome_16	999343	1058248	58921	58906
scaffold13_size2841042_pilon	1024566	1031154	chromosome_16	1058212	1064767	6589	6556
scaffold13_size2841042_pilon	1031302	1171625	chromosome_16	1064868	1205212	140324	140345
scaffold13_size2841042_pilon	1171618	1385050	chromosome_16	1213598	1427044	213433	213447
scaffold13_size2841042_pilon	1390332	1392992	chromosome_16	1432356	1435028	2661	2673
scaffold13_size2841042_pilon	1393168	1394755	chromosome_16	1435214	1436782	1588	1569
scaffold13_size2841042_pilon	1394965	1395431	chromosome_16	1436819	1437277	467	459
scaffold13_size2841042_pilon	1395433	1401923	chromosome_16	1437395	1443890	6491	6496
scaffold13_size2841042_pilon	1401923	1407247	chromosome_16	1444072	1449325	5325	5254
scaffold13_size2841042_pilon	1407644	1413523	chromosome_16	1449795	1455567	5880	5773
scaffold13_size2841042_pilon	1413680	1416334	chromosome_16	1455697	1458360	2655	2664
scaffold13_size2841042_pilon	1416500	1419429	chromosome_16	1458460	1461294	2930	2835
scaffold13_size2841042_pilon	1419617	1436772	chromosome_16	1461465	1478556	17156	17092
scaffold13_size2841042_pilon	1437011	1448363	chromosome_16	1478896	1490342	11353	11447
scaffold13_size2841042_pilon	1448427	1449387	chromosome_16	1490480	1491501	961	1022
scaffold13_size2841042_pilon	1449518	1450230	chromosome_16	1491802	1492499	713	698
scaffold13_size2841042_pilon	1450336	1451687	chromosome_16	1492499	1493866	1352	1368
scaffold13_size2841042_pilon	1452228	1455986	chromosome_16	1494141	1497876	3759	3736
scaffold13_size2841042_pilon	1456085	1472227	chromosome_16	1498154	1514275	16143	16122
scaffold13_size2841042_pilon	1472425	1473022	chromosome_16	1514428	1515041	598	614
scaffold13_size2841042_pilon	1473596	1481686	chromosome_16	1515810	1523874	8091	8065
scaffold13_size2841042_pilon	1481992	1489499	chromosome_16	1524218	1531746	7508	7529
scaffold13_size2841042_pilon	1489495	1490860	chromosome_16	1531988	1533334	1366	1347
scaffold13_size2841042_pilon	1491013	1495271	chromosome_16	1533343	1537671	4259	4329
scaffold13_size2841042_pilon	1495508	1505250	chromosome_16	1537935	1547721	9743	9787
scaffold13_size2841042_pilon	1506021	1509467	chromosome_16	1547877	1551306	3447	3430
scaffold13_size2841042_pilon	1509457	1520369	chromosome_16	1552013	1562967	10913	10955
scaffold13_size2841042_pilon	1520543	1525272	chromosome_16	1563035	1567768	4730	4734
scaffold13_size2841042_pilon	1529044	1554109	chromosome_16	1568052	1593078	25066	25027
scaffold13_size2841042_pilon	1554103	1558160	chromosome_16	1594358	1598346	4058	3989
scaffold13_size2841042_pilon	1559988	1563081	chromosome_16	1617243	1620359	3094	3117
scaffold13_size2841042_pilon	1564889	1565023	chromosome_16	1621464	1621599	135	136
scaffold13_size2841042_pilon	1565058	1569931	chromosome_16	1621979	1626941	4874	4963
scaffold13_size2841042_pilon	1569926	1591650	chromosome_16	1627079	1648822	21725	21744
scaffold13_size2841042_pilon	1591650	1610446	chromosome_16	1648934	1667677	18797	18744
scaffold13_size2841042_pilon	1610706	1612754	chromosome_16	1667779	1669793	2049	2015
scaffold13_size2841042_pilon	1612829	1614440	chromosome_16	1670138	1671749	1612	1612
scaffold13_size2841042_pilon	1614532	1614818	chromosome_16	1671751	1672037	287	287
scaffold13_size2841042_pilon	1620110	1626268	chromosome_16	1672717	1678832	6159	6116
scaffold13_size2841042_pilon	1626264	1632548	chromosome_16	1679901	1686174	6285	6274
scaffold13_size2841042_pilon	1633206	1636876	chromosome_16	1688338	1692014	3671	3677
scaffold13_size2841042_pilon	1639126	1666257	chromosome_16	1693445	1720841	27132	27397
scaffold13_size2841042_pilon	1666575	1670690	chromosome_16	1721131	1725294	4116	4164
scaffold13_size2841042_pilon	1670905	1687354	chromosome_16	1725292	1741710	16450	16419
scaffold13_size2841042_pilon	1687375	1690484	chromosome_16	1741826	1744839	3110	3014
scaffold13_size2841042_pilon	1690591	1700988	chromosome_16	1744959	1755536	10398	10578
scaffold13_size2841042_pilon	1701126	1713976	chromosome_16	1755880	1768654	12851	12775
scaffold13_size2841042_pilon	1714812	1715512	chromosome_16	1768654	1769352	701	699
scaffold13_size2841042_pilon	1715873	1729757	chromosome_16	1769521	1783321	13885	13801
scaffold13_size2841042_pilon	1730281	1737706	chromosome_16	1783392	1790799	7426	7408
scaffold13_size2841042_pilon	1737956	1743367	chromosome_16	1790795	1796267	5412	5473
scaffold13_size2841042_pilon	1743365	1745455	chromosome_16	1796962	1799068	2091	2107
scaffold13_size2841042_pilon	1751912	1755814	chromosome_16	1799333	1803236	3903	3904
scaffold13_size2841042_pilon	1756483	1770182	chromosome_16	1809961	1823513	13700	13553
scaffold13_size2841042_pilon	1772960	1779796	chromosome_16	1831793	1838646	6837	6854
scaffold13_size2841042_pilon	1780821	1798889	chromosome_16	1839391	1857453	18069	18063
scaffold13_size2841042_pilon	1812149	1816744	chromosome_16	1870431	1875008	4596	4578
scaffold13_size2841042_pilon	1819508	1833805	chromosome_16	1889889	1875647	14298	14243
scaffold13_size2841042_pilon	1837299	1847609	chromosome_16	1901392	1911664	10311	10273
scaffold13_size2841042_pilon	1849125	1850192	chromosome_16	1913678	1914755	1068	1078
scaffold13_size2841042_pilon	1850889	1856091	chromosome_16	1914854	1920033	5203	5180
scaffold13_size2841042_pilon	1856089	1872262	chromosome_16	1920535	1936687	16174	16153
scaffold13_size2841042_pilon	1872247	1904540	chromosome_16	1936759	1969073	32294	32315
scaffold13_size2841042_pilon	1923692	1999533	chromosome_16	1982645	2058489	75842	75845
scaffold13_size2841042_pilon	1999365	2068385	chromosome_16	2058276	2127247	69021	68972
scaffold13_size2841042_pilon	2147140	2240693	chromosome_16	2161362	2254918	93554	93557
scaffold13_size2841042_pilon	2241473	2323096	chromosome_16	2255019	2336656	81624	81638
scaffold13_size2841042_pilon	2324477	2328205	chromosome_16	2336757	2340486	3729	3730
scaffold13_size2841042_pilon	2328545	2397930	chromosome_16	2340649	2410033	69386	69385
scaffold13_size2841042_pilon	2398110	2551868	chromosome_16	2410027	2563854	153759	153828
scaffold13_size2841042_pilon	2606192	2672129	chromosome_16	2618213	2684160	65938	65948
scaffold13_size2841042_pilon	2673418	2746799	chromosome_16	2684996	2758378	73382	73383
scaffold13_size2841042_pilon	2747187	2762036	chromosome_16	2766753	2781604	14850	14852
scaffold13_size2841042_pilon	2761978	2837992	chromosome_16	2781705	2857896	76015	76192
scaffold6_size7605625_pilon	5338803	5340764	chromosome_16	6740924	6738888	1962	2037
scaffold6_size7605625_pilon	6506336	6506423	chromosome_16	7185619	7185532	88	88
scaffold6_size7605625_pilon	7449737	7449811	chromosome_16	7772690	7772764	75	75
scaffold6_size7605625_pilon	7553011	7553132	chromosome_16	6472665	6472543	122	123
scaffold3_size8431429_pilon	1516050	1516753	chromosome_16	936572	935869	704	704
scaffold3_size8431429_pilon	1609175	1610251	chromosome_16	1679905	1678828	1077	1078
scaffold3_size8431429_pilon	5848655	5849253	chromosome_16	3362665	3363257	599	593
scaffold3_size8431429_pilon	7561935	7562497	chromosome_16	3002068	3002630	563	563
scaffold4_size6206177_pilon	1402521	1402774	chromosome_16	544962	545213	254	252
scaffold5_size6089379_pilon	3053676	3054543	chromosome_16	3277458	3278326	868	869
scaffold5_size6089379_pilon	4119079	4119380	chromosome_16	1598631	1598939	302	309
scaffold12_size3125078_pilon	3044151	3046437	chromosome_16	3265109	3267395	2287	2287
scaffold12_size3125078_pilon	3048442	3050538	chromosome_16	3267398	3269486	2097	2089
scaffold25_size733346_pilon	173790	173884	chromosome_16	7575053	7575147	95	95
scaffold8_size5106655_pilon	508057	528805	chromosome_16	7374785	7354045	20749	20741
scaffold8_size5106655_pilon	529006	548375	chromosome_16	7354164	7334839	19370	19326
scaffold8_size5106655_pilon	548372	555889	chromosome_16	7334104	7326575	7518	7530
scaffold8_size5106655_pilon	555896	583413	chromosome_16	7326628	7299138	27518	27491
scaffold8_size5106655_pilon	584315	597109	chromosome_16	7299139	7286378	12795	12762
scaffold8_size5106655_pilon	597559	603929	chromosome_16	7286351	7279858	6371	6494
scaffold8_size5106655_pilon	604437	614885	chromosome_16	7279906	7269523	10449	10384
scaffold8_size5106655_pilon	615840	616945	chromosome_16	7269331	7268095	1106	1237
scaffold8_size5106655_pilon	617062	620849	chromosome_16	7267926	7264286	3788	3641
scaffold8_size5106655_pilon	620836	629189	chromosome_16	7264257	7255862	8354	8396
scaffold8_size5106655_pilon	629192	631163	chromosome_16	7255733	7253770	1972	1964
scaffold8_size5106655_pilon	631369	639760	chromosome_16	7253770	7245406	8392	8365
scaffold8_size5106655_pilon	639938	640651	chromosome_16	7245222	7244498	714	725
scaffold8_size5106655_pilon	640765	641286	chromosome_16	7244498	7243968	522	531
scaffold8_size5106655_pilon	641286	654483	chromosome_16	7243880	7230828	13198	13053
scaffold8_size5106655_pilon	654723	680999	chromosome_16	7230834	7204517	26277	26318
scaffold8_size5106655_pilon	681001	698549	chromosome_16	7204387	7186936	17549	17452
scaffold8_size5106655_pilon	702272	725224	chromosome_16	7180068	7157146	22953	22923
scaffold8_size5106655_pilon	726329	746901	chromosome_16	7155732	7135296	20573	20437
scaffold8_size5106655_pilon	747007	754498	chromosome_16	7134723	7127213	7492	7511
scaffold8_size5106655_pilon	754501	762662	chromosome_16	7127091	7118951	8162	8141
scaffold8_size5106655_pilon	762677	765434	chromosome_16	7118304	7115580	2758	2725
scaffold8_size5106655_pilon	765428	768688	chromosome_16	7113668	7110440	3261	3229
scaffold8_size5106655_pilon	768692	789544	chromosome_16	7110254	7089392	20853	20863
scaffold8_size5106655_pilon	789616	794608	chromosome_16	7089260	7084356	4993	4905
scaffold8_size5106655_pilon	802008	802541	chromosome_16	7072102	7071580	534	523
scaffold8_size5106655_pilon	803145	809573	chromosome_16	7071579	7065130	6429	6450
scaffold8_size5106655_pilon	809784	814515	chromosome_16	7065127	7060359	4732	4769
scaffold8_size5106655_pilon	814694	815851	chromosome_16	7060359	7059232	1158	1128
scaffold8_size5106655_pilon	816032	816761	chromosome_16	7059232	7058500	730	733
scaffold8_size5106655_pilon	816773	822485	chromosome_16	7052062	7046397	5713	5666
scaffold8_size5106655_pilon	822475	824218	chromosome_16	7042884	7041135	1744	1750
scaffold8_size5106655_pilon	824218	826058	chromosome_16	7040951	7039117	1841	1835
scaffold8_size5106655_pilon	826053	833226	chromosome_16	7038490	7031345	7174	7146
scaffold8_size5106655_pilon	833338	835378	chromosome_16	7031244	7029225	2041	2020
scaffold8_size5106655_pilon	835483	839231	chromosome_16	7029093	7025381	3749	3713
scaffold8_size5106655_pilon	839421	880869	chromosome_16	7024355	6982917	41449	41439
scaffold8_size5106655_pilon	880878	883311	chromosome_16	6981956	6979523	2434	2434
scaffold8_size5106655_pilon	883802	930154	chromosome_16	6978079	6931914	46353	46166
scaffold8_size5106655_pilon	930260	948795	chromosome_16	6931912	6913265	18536	18648
scaffold8_size5106655_pilon	971147	979441	chromosome_16	6912742	6904230	8295	8513
scaffold8_size5106655_pilon	979633	980326	chromosome_16	6904105	6903418	694	688
scaffold8_size5106655_pilon	980394	981592	chromosome_16	6903155	6901838	1199	1318
scaffold8_size5106655_pilon	981696	991668	chromosome_16	6901848	6891905	9973	9944
scaffold8_size5106655_pilon	991668	991769	chromosome_16	6891777	6891674	102	104
scaffold8_size5106655_pilon	992175	992603	chromosome_16	6891673	6891240	429	434
scaffold8_size5106655_pilon	1005423	1017875	chromosome_16	6878346	6865934	12453	12413
scaffold8_size5106655_pilon	1019189	1019624	chromosome_16	6865109	6864682	436	428
scaffold8_size5106655_pilon	1019904	1021198	chromosome_16	6864353	6863075	1295	1279
scaffold8_size5106655_pilon	1021420	1039931	chromosome_16	6863025	6844494	18512	18532
scaffold8_size5106655_pilon	1039931	1060508	chromosome_16	6843466	6822920	20578	20547
scaffold8_size5106655_pilon	1060793	1062230	chromosome_16	6822915	6821486	1438	1430
scaffold8_size5106655_pilon	1062225	1090963	chromosome_16	6820615	6791877	28739	28739
scaffold8_size5106655_pilon	1091112	1119486	chromosome_16	6790745	6762417	28375	28329
scaffold8_size5106655_pilon	1119492	1119878	chromosome_16	6762250	6761862	387	389
scaffold8_size5106655_pilon	1121367	1121493	chromosome_16	6761859	6761733	127	127
scaffold8_size5106655_pilon	1122024	1124781	chromosome_16	6761670	6758913	2758	2758
scaffold8_size5106655_pilon	1124922	1135488	chromosome_16	6758763	6748171	10567	10593
scaffold8_size5106655_pilon	1135540	1140999	chromosome_16	6748221	6742709	5460	5513
scaffold8_size5106655_pilon	1142534	1142871	chromosome_16	6742048	6741708	338	341
scaffold8_size5106655_pilon	1144019	1162025	chromosome_16	6736618	6718553	18007	18066
scaffold8_size5106655_pilon	1162025	1186754	chromosome_16	6718438	6693760	24730	24679
scaffold8_size5106655_pilon	1187646	1191249	chromosome_16	6692694	6689139	3604	3556
scaffold8_size5106655_pilon	1191251	1205151	chromosome_16	6688982	6675179	13901	13804
scaffold8_size5106655_pilon	1205725	1207712	chromosome_16	6673270	6671275	1988	1996
